歌番号,歌人,歌,現代語訳,出典,決まり字,おだやかポジティブ現代語訳,情熱ポジティブ現代語訳
11,参議篁,わたの原 八十島かけて 漕ぎ出でぬと 人には告げよ 海人の釣舟,「広い海原のたくさんの島々を目ざして漕ぎ出した」と都の人には伝えておくれ、海人の釣舟よ。,古今集 羇旅 407,わたのはらや,これから広い海原に広がるたくさんの島々を目指して、大志を抱いて船を漕ぎ出すのだと、都にいる人々に伝えておくれ、漁師の船よ。,さあ多くの島々を目指して大海原への大冒険に出発だ！私の勇ましい旅立ちをみんなに自慢してくれ。
12,僧正遍昭,天つ風 雲の通ひ路 吹き閉ぢよ 乙女の姿 しばしとどめむ,天の風よ、雲間の通り道を吹き閉じておくれ。この天女の姿をしばしここにとどめておきたいので。,古今集 雑上 872,あまつ,天を吹く風よ、どうか雲の間の通り道を閉じておくれ。この素晴らしい天女のような舞姫の姿を、もうしばらくここに留めておきたいのだから。,風よ雲を吹き飛ばさずにいてくれ。この美しい舞と光景をもっと長く楽しんでいたいから！
13,陽成院,筑波嶺の 峰より落つる みなの川 恋ぞ積もりて 淵となりぬる,筑波嶺の峰から落ちるみなの川。その流れが積もって淵となったように、私の恋も積もって深い淵となってしまったよ。,後撰集 恋三 776,つく,筑波山の峰から流れ落ちる小さな川が、やがて大きな淵となるように、私のあなたへの恋心も、日ごとに深く、大きくなっていくのを感じるよ。,小さな一歩から始まった情熱は今や大河のように力強く深くなっている。このエネルギーは誰にも止められない！
14,河原左大臣,陸奥の しのぶもぢずり 誰ゆゑに 乱れそめにし 我ならなくに,陸奥の「信夫もぢずり」の乱れ模様のように、誰のせいで心が乱れた私だというのでしょうか。ほかならぬあなたのためですよ。,古今集 恋四 724,みち,陸奥の信夫もぢずりの乱れ模様のように、私の心はあなたへの情熱で乱れている。他の誰でもない、あなただけを想っているからこそ。,複雑で美しい模様のように君への興味が尽きない。こんなに心が揺さぶられるほど夢中になれるなんて！
15,光孝天皇,君がため 春の野に出でて 若菜摘む わが衣手に 雪は降りつつ,あなたにさし上げるために春の野に出て若菜を摘む私の袖に、雪はしきりに降りかかかって来て。,古今集 春上 21,きみがためは,愛しいあなたに贈るために、春の野原に出て若菜を摘んでいると、私の袖に雪がひらひらと舞い降りてきた。なんと美しい光景だろう。,大好きな君へのプレゼントを探しに春の野原へ。雪が降ってきたけど君の喜ぶ顔を想像するとへっちゃらだ。
16,中納言行平,立ち別れ いなばの山の 峰に生ふる まつとし聞かば 今帰り来む,これから別れて因幡の国に行きますが、その因幡の山の峰に生えている松、いや、私を待つと聞いたならば、すぐにでも帰って来ましょう。,古今集 離別 365,たち,これからあなたと別れて因幡の国へ行きますが、その地の山の峰に生える松のように、あなたが私を待っていてくれると聞いたら、すぐにでも帰ってきます。,ちょっと行ってくるよ！君が待っててくれるなら山を越えてすぐ戻ってくる。私のフットワークは軽いからね。
17,在原業平朝臣,ちはやぶる 神代も聞かず 竜田川 からくれなゐに 水くくるとは,あの神代にも聞いたことがないよ。龍田川の水を真っ赤に括り染めにするとは。,古今集 秋下 294,ちは,神々の時代でさえ聞いたことがない。龍田川が、燃えるような紅葉によって、見事な紅色に染め上げられているとは。なんと素晴らしい景色だろう。,こんな鮮やかな赤色は見たことがない！神話の時代でさえありえなかったほど今は最高にドラマチックだ。
18,藤原敏行朝臣,住の江の 岸に寄る波 よるさへや 夢の通ひ路 人目よくらむ,住の江の岸に寄る波、いや夜までもどうして夢の通い路であなたは人目を避けるのですか。,古今集 恋二 559,す,住の江の岸に波が寄せるように、夜も昼もあなたを想っています。夢の中でさえ、人目を気にしてしまうほど、私の想いは真剣なのです。,夜寝ている夢の中でさえ君に会うのが恥ずかしいくらい私は君にときめいている。このドキドキ感は止まらない！
19,伊勢,難波潟 みじかき芦の ふしの間も 逢はでこの世を 過ぐしてよとや,難波潟に生えている短い葦の節と節との間、そんな短い間でさえ逢わずにこの世を過ごせというのですか。,新古今集 恋一 1049,なにはが(読み方: なにわが),難波潟の葦の節と節の間の、ほんのわずかな時間でさえも会わずにいられない。それほどまでに、あなたを愛しく想うこの毎日を大切に過ごしたいのです。,一瞬だって無駄にしたくない。一分一秒でも多く君と一緒にいたい、それほど私の愛は熱烈なんだ！
20,元良親王,わびぬれば 今はた同じ 難波なる みをつくしても 逢はむとぞ思ふ,こんなにも思い苦しんでいるので、今となっては同じことです。あの難波の澪標ではありませんが、どんなに身を尽くしても逢おうと思います。,後撰集 恋五 960,わび,これほどまでにあなたを想い、焦がれているのだから、もう何も恐れることはない。難波の海にある澪標のように、この身を捧げてでも、あなたに会いに行こうと決めたのです。,もう迷いはない！身を投げ出す覚悟で全力で君に会いに行くよ。目標に向かって突き進むこの決意は揺るがない。
21,素性法師,今来むと 言ひしばかりに 長月の 有明の月を 待ち出でつるかな,「今行きましょう」とあなたが言ったばっかりに、夜の長い長月の有明の月が出るまで待ち続けたことです。,古今集 恋四 691,いまこ,「今すぐ行きます」というあなたの言葉を信じて、長い秋の夜、美しい有明の月が昇るまで、あなたを待ち続けるこの時間さえも愛おしい。,君が来るというからワクワクして待っていたら美しい夜明けの月を見ることができた。徹夜したおかげのご褒美だね。
22,文屋康秀,吹くからに 秋の草木の しをるれば むべ山風を 嵐といふらむ,吹くとすぐに秋の草木がしおれてしまうので、なるほど山から吹く風を嵐というのであろう。,古今集 秋下 249,ふ,山から風が吹くと、秋の草木が一斉にざわめき、その姿を変える。なるほど、この力強く壮大な風を「嵐」と呼ぶのは、実に的を射ている。,風が吹くだけで草木が動く、「山」に「風」で「嵐」とはうまいこと言ったものだ！言葉遊びの発見が面白い。
23,大江千里,月見れば 千々に物こそ 悲しけれ わが身一つの 秋にはあらねど,月を見るといろいろと物悲しくなってくるよ。私ひとりのために来た秋というわけでもないのだが。,古今集 秋上 193,つき,澄み渡る秋の夜空に月を見上げれば、様々な思いが心に満ちてくる。この美しい秋の夜は、私だけでなく、誰もがそれぞれの思いを馳せているのだろう。,月を見ていると想像力が無限に広がる。自分という枠を超えた壮大なセンチメンタリズムに浸れる時間だ。
24,菅家,このたびは 幣も取りあへず 手向山 紅葉の錦 神のまにまに,この度の旅は幣を取りととのえることもできません。今はこの手向山の錦のような紅葉を、神よ、どうかお心のままに。,古今集 羇旅 420,この,この度の旅は急なことで、神様への捧げ物も用意できませんでした。どうか、この手向山の美しい紅葉の錦を、捧げ物としてお受け取りください。,捧げ物は持ってないけどこの素晴らしい紅葉の錦を神様にプレゼントしよう！自然そのものが最高の贈り物だ。
25,三条右大臣,名にし負はば 逢坂山の さねかづら 人に知られで 来るよしもがな,「逢う」や「さ寝」と名にあるのならば、逢坂山のさねかずらを人知れず手繰るように、人に知られずに行くすべがあればいいのに。,後撰集 恋三 700,なにし,その名に「逢う」という言葉を持つ逢坂山のさねかずらをたぐるように、人目を忍んであなたに会いに行く方法があれば、どんなに素晴らしいだろう。,この蔓を手繰り寄せるように誰にも見つからない秘密の方法で君の元へ行きたい。スパイ映画のようなワクワクする恋だ。
26,貞信公,小倉山 峰のもみぢ葉 心あらば 今ひとたびの みゆき待たなむ,小倉山の峰の紅葉よ、おまえに心があるのなら今一度の帝のお出ましを待っておくれよ。,拾遺集 雑秋 1128,をぐ(読み方: おぐ),小倉山の峰を彩る紅葉よ、もしお前に心があるのなら、帝がもう一度お越しになるまで、その美しい姿を保っていてくれないか。,紅葉たちよ君たちも空気読んでくれ！もうすぐ大切な人が来るから最高のコンディションで迎えてあげよう。
27,中納言兼輔,みかの原 わきて流るる いづみ川 いつ見きとてか 恋しかるらむ,みかの原を分けて湧き出て流れる泉川、ううむ、いつ見たといってあの人のことが恋しいのだろうか。,新古今集 恋一 996,みかの,みかの原から湧き出る泉川のように、私の恋心も尽きることがない。いつあなたを見てから、こんなにも恋しく思うようになったのだろうか。,湧き出る泉のように理由もなく愛しさが溢れてくる。会ったことがあろうがなかろうがこの直感的なトキメキを楽しもう！
28,源宗于朝臣,山里は 冬ぞ寂しさ まさりける 人目も草も かれぬと思へば,山里では、冬はとりわけさびしさがまさるのだなあ。人も離れ草も枯れてしまうかと思うと。,古今集 冬 315,やまざ,山里の冬は、訪れる人もなくなり草木も枯れるので、静寂が一層深まる。この静けさの中で、自分自身と向き合う時間を過ごすのもまた一興だ。,冬の山里は最高だ。誰も来ないし雑草も枯れてスッキリする。この圧倒的な静寂こそ究極のソロ・リトリートだ。
29,凡河内躬恒,心あてに 折らばや折らむ 初霜の 置きまどはせる 白菊の花,それと見当をつけて、もし折るというのであれば折ってみようか。初霜が降りて見分けがつかなくなった白菊の花を。,古今集 秋下 277,こころあ,初霜が降りて、あたり一面が真っ白な中、白菊の花が凛と咲いている。どれが霜でどれが花か見分けがつかないほどの美しさだ。心を澄ませて、その一本を折ってみようか。,霜と白菊が一体化して見分けがつかない！まるで自然が仕掛けた隠れんぼだね。手探りで探すゲームみたいで楽しい朝だ。
30,壬生忠岑,有明の つれなく見えし 別れより 暁ばかり 憂きものはなし,有明の月のそっけなく見えた、そしてあなたの冷たかった別れの時から、暁どきほどつらいものはないのですよ。,古今集 恋三 625,ありあ,有明の月が静かに見守る中、あなたと別れてから、夜明け前のひとときが、あなたを想う最も深く、豊かな時間となったのです。,君との時間が最高すぎて夜が明けるのが惜しい！こんなに帰りたくないと思えるほど素晴らしい夜を過ごせたんだ。
31,坂上是則,朝ぼらけ 有明の月と 見るまでに 吉野の里に 降れる白雪,夜がしらじらと明けはじめるころ、有明の月の光かとみるほどに、吉野の里に雪が降り積もっていたよ。,古今集 冬 332,あさぼらけあ,夜が白々と明ける頃、吉野の里に降り積もった白雪は、まるで有明の月の光が地上を照らしているかのように、清らかで美しい。,吉野の里に白雪が降り、朝ぼらけに有明の月と見まがうほど明るく輝いていて、私は新しい朝の清らかさを受け取っている。
32,春道列樹,山川に 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり,山の中の川に風が架けたしがらみは、なんと、流れきれずにいる紅葉であったよ。,古今集 秋下 303,やまが,山の中の川に、風が美しい紅葉を集めて、まるで堰を作ったかのようだ。自然が作り出した、流れもせき止めるほどの見事な芸術作品だよ。,川を埋め尽くすほどの紅葉！風が作ったこの天然のダムは鮮やかで力強い秋のアート作品だ。
33,紀友則,ひさかたの 光のどけき 春の日に しづ心なく 花の散るらむ,こんな日の光ののどかな春の日に、どうして落ち着いた心もなく桜の花は散っているのだろう。,古今集 春下 84,ひさ,こんなにも光がのどかな春の日に、桜の花はどうしてこんなにも喜んで、空に舞い上がっていくのだろう。まるで春の訪れを祝っているかのようだ。,こんなにのどかな春の日なのに桜だけはエネルギッシュに舞い散っている！その潔さと躍動感が春の生命力を感じさせる。
34,藤原興風,誰をかも 知る人にせむ 高砂の 松も昔の 友ならなくに,誰を知り合いにしようか。あの高砂の松も昔からの友というわけではないのだから。,古今集 雑上 909,たれ,これから先、誰を新しい友人として迎えようか。高砂の松でさえ、昔からの友ではないのだから、新しい出会いに胸がときめくよ。,長生きしすぎて昔の友達はいなくなったけど目の前の松の木とはすっかり親友気分だ。自然と語り合える境地に達したぞ。
35,紀貫之,人はいさ 心も知らず ふるさとは 花ぞ昔の 香ににほひける,あなたの気持ちはさあわかりません。ただこの昔なじみの所では梅の花が昔と同じ香りで咲き匂っていることですよ。,古今集 春上 42,ひとは,人の心は変わるものですが、この馴染み深い場所では、梅の花が昔と変わらぬ素晴らしい香りを放っている。変わらないものの美しさがここにある。,人の心は分からないけどこの梅の花の香りは昔のままだ！変わらない故郷の香りに包まれて懐かしい思い出が蘇る。
36,清原深養父,夏の夜は まだ宵ながら 明けぬるを 雲のいづこに 月宿るらむ,夏の夜はまだ宵かと思っているうちに明けてしまったが、雲のいったいどこに月は宿りをとっているのだろう。,古今集 夏 166,なつ,夏の夜は、まだ宵のうちだと思っていたら、もう明けてしまった。月は一体、雲のどのあたりで、次の夜への素晴らしい準備をしているのだろうか。,夏の夜は短すぎて遊び足りない！あっという間に朝だ。月も隠れる暇がないくらいスピード感あふれる爽快な季節だね。
37,文屋朝康,白露を 風の吹きしく 秋の野は つらぬきとめぬ 玉ぞ散りける,白露に風がしきりに吹きかかる秋の野は、貫きとめておかなかった玉が散っているよ。,後撰集 秋中 308,しら,白露に風が優しく吹きつける秋の野は、まるで糸で通していない真珠が、きらきらと輝きながら散っているようで、息をのむほど美しい。,風が吹くたびに草葉の露が宝石のように飛び散っていく！秋の野原はきらめく真珠が舞い踊る宝箱のようだ。
38,右近,忘らるる 身をば思はず 誓ひてし 人の命の 惜しくもあるかな,あなたに忘れられる我が身は何とも思いません。ただ、神に誓ったあなたの命が惜しくてならないのです。,拾遺集 恋四 870,わすら,忘れられてしまう私の身のことは、もう気にしません。ただ、神に永遠の愛を誓ったあなたの命が、これからも輝き続けることを心から願っています。,私のことなんてどうでもいい、ただ君が元気で長生きしてくれればそれでいいんだ！見返りを求めない究極の愛に生きている。
39,参議等,浅茅生の 小野の篠原 忍ぶれど あまりてなどか 人の恋しき,浅茅の生えた小野の篠原、ああ、そんなふうに忍んできたけれど、忍びきれずにどうしてあなたがこんなにも恋しいのか。,後撰集 恋一 577,あさぢ(読み方: あさじ),浅茅の生える小野の篠原のように、そっと隠してきたこの想い。もう抑えきれないほど、どうしてあなたはこんなにも魅力的なのだろうか。,隠そうとしても隠しきれない！私の恋心は野原の笹のように生命力に溢れていてどんどん外に向かって伸びていくんだ。
40,平兼盛,忍ぶれど 色に出でにけり わが恋は 物や思ふと 人の問ふまで,忍び隠していたけれど顔色に出てしまったよ、私の恋は。「物思いをしているのですか」とまわりの人が尋ねるまでに。,拾遺集 恋一 622,しの,心に秘めていた恋心が、とうとう顔に出てしまったようだ。「何か素敵なことでも考えているのですか」と人に尋ねられるほどに、私は輝いているらしい。,黙っていても顔に出ちゃうくらい私は恋をして幸せなんだ。「何かいいことあった？」って聞かれるくらいオーラが輝いている。
41,壬生忠見,恋すてふ わが名はまだき 立ちにけり 人知れずこそ 思ひそめしか,恋をしているという私の評判は早くも立ってしまったよ。人知れず思いそめたというのに。,拾遺集 恋一 621,こひ(読み方: こい),恋をしているという私の噂が、もう広まってしまったようだ。誰にも知られずに、そっと心の中で育んできた、大切な想いだったのに。,まだ誰にも言ってないのに私が恋してるって噂になってる！それだけ私の情熱が周囲に伝わってしまっているのか。
42,清原元輔,契りきな かたみに袖を しぼりつつ 末の松山 波越さじとは,約束しましたよね。お互いに涙でぬれた袖をしぼりながら、あの「末の松山」を波が越えないように、決して心変わりはしまいと。,後拾遺集 恋四 770,ちぎりき,固く約束しましたよね。涙で濡れた袖を絞りながら、末の松山を波が決して越えないように、私たちの愛も永遠に変わらないと。,あの時の涙ながらの約束は山を波が越えない限り絶対だ！それくらい私たちの絆は強固で不可能なことさえ覆す力がある。
43,中納言敦忠,逢ひ見ての 後の心に くらぶれば 昔は物を 思はざりけり,逢って一緒に過ごした後の心に比べたら、昔は物思いなどしていなかったのだなあ。,拾遺集 恋二 710,あひ(読み方: あい),あなたと愛を交わした後の、この満たされた心に比べれば、昔の私は本当の喜びを知らなかったのだなあと、しみじみと感じています。,君に出会ってからの毎日は刺激的すぎる！出会う前の平穏な日々が退屈に思えるほど今の私は感情豊かに生きている。
44,中納言朝忠,逢ふことの 絶えてしなくは なかなかに 人をも身をも 恨みざらまし,逢うことがまったくないのだとしたら、かえってあの人の冷たさや我が身のつらさも恨んだりはしないのに。,拾遺集 恋一 678,あふこ(読み方: おおこ),いっそのこと、あなたに会うことが全くなくなってしまえば、かえってあなたのことや自分のことを、こんなにも深く想うこともなかっただろうに。,もし会わなければこんな気持ちにはならなかった。つまり君との出会いは私の人生を根底から覆す衝撃的なビッグイベントだったんだ！
45,謙徳公,あはれとも いふべき人は 思ほえで 身のいたづらに なりぬべきかな,「ああ、かわいそうに」と言ってくれそうな人はほかに思い浮かばず、このまま我が身はきっと死んでしまうのだろうなあ。,拾遺集 恋五 950,あはれ(読み方: あわれ),「なんて素晴らしい人だろう」と言ってくれる人は、あなた以外に思い浮かばない。このまま、あなたへの想いを胸に、我が身は燃え尽きていくのだろう。,誰にも理解されなくても構わない。私はこの道を突き進み自分だけの信念を貫いて燃え尽きる。それが私の生き様だ！
46,曾禰好忠,由良の門を 渡る舟人 かぢを絶え 行くへも知らぬ 恋の道かな,由良の河口を渡る舟人が、梶がなくなりどこへ行くのかもわからぬように、この先どうなるかわからない私の恋の道ですよ。,新古今集 恋一 1071,ゆら,由良の海峡を渡る舟人が梶を失い、どこへ行くかわからなくなるように、私の恋の道も、どこへたどり着くかわからない。このスリルがたまらない。,舵を失った船のようにどこにたどり着くかわからない恋の旅！予測不能なミステリーツアーに出ているようで最高にスリリングだ。
47,恵慶法師,八重むぐら しげれる宿の さびしきに 人こそ見えね 秋は来にけり,雑草の生い茂ったこの宿の寂しさに人の訪れはないけれど、秋だけはちゃんとやって来たことだ。,拾遺集 秋 140,やへ(読み方: やえ),雑草が生い茂るこの静かな宿には、誰も訪れることはないが、秋だけは毎年忘れずにやって来て、美しい景色を見せてくれる。,雑草が生い茂るワイルドな我が家にも平等に秋がやってきた。誰にも邪魔されず季節の到来を独り占めできる特等席だ。
48,源重之,風をいたみ 岩うつ波の おのれのみ くだけて物を 思ふころかな,風が激しいので岩をうつ波が自分だけ砕けるように、ただ私だけが心砕けて物思いをすることだよ。,詞花集 恋上 211,かぜを,風が激しく、岩に打ちつける波が自ら砕け散るように、私の心も、あなたへの激しい情熱で、ただただ燃え上がっている今日この頃だ。,激しい風を受けて岩に砕け散る波のように私は全身全霊で恋にぶつかっている！砕けることを恐れないロックな毎日だ。
49,大中臣能宣朝臣,みかきもり 衛士のたく火の 夜は燃え 昼は消えつつ 物をこそ思へ,御垣を守る衛士のたく火が夜は燃えて昼には消えるように、夜は恋の思いに燃え、昼は今にも消え入りそうに物思いし続けているのです。,詞花集 恋上 225,みかき,宮中を守る衛士が焚く火のように、夜はあなたへの想いに燃え、昼間は静かにその想いを温めている。私の心は、いつもあなたで満たされているのです。,警備のかがり火のように私の情熱は夜になるとメラメラと燃え上がる！昼間はクールに振る舞っているが内なる炎は消えていない。
50,藤原義孝,君がため 惜しからざりし 命さへ 長くもがなと 思ひけるかな,あなたと逢うためなら惜しくもなかった命までもが、今では長くあってほしいと思うようになったよ。,後拾遺集 恋二 669,きみがためを(読み方: きみがためお),あなたに会うためなら、惜しくないと思っていたこの命でさえ、あなたと結ばれた今、一日でも長く生きたいと、心から思うようになったのです。,君に出会うまでは命なんてどうでもよかったけど今は一日でも長く生きたい！君との未来が楽しみすぎて人生が急に輝き出したよ。
51,藤原実方朝臣,かくとだに えやはいぶきの さしも草 さしも知らじな もゆる思ひを,「このように」とだけでさえも言うことができないのだから、伊吹山のさしも草のように、こんなにも燃えている「思ひ」をあなたはさすがに知りますまいね。,後拾遺集 恋一 612,かく,「こんなにも燃えています」と、言葉で伝えることさえできない。伊吹山のさしも草のように、熱く燃えるこの想いを、あなたはきっと分かってくれるはずだ。,伊吹山のお灸の草のように私の心は熱く燃えている！この胸の炎は誰にも消せないとてつもないエネルギーを秘めているんだ。
52,藤原道信朝臣,明けぬれば 暮るるものとは 知りながら なほ恨めしき 朝ぼらけかな,夜が明ければまた暮れるものとは知りながら、それでもはやり恨めしい朝ぼらけだなあ。,後拾遺集 恋二 672,あけ,夜が明ければ、また素晴らしい夜がやって来ると知ってはいても、あなたと過ごした時間が終わってしまう朝のひとときは、やはり名残惜しいものだなあ。,また夜が来るのは分かってるけど君との楽しい時間が中断される朝が憎らしい。それほど充実した夜だったということさ！
53,右大将道綱母,嘆きつつ ひとり寝る夜の 明くる間は いかに久しき ものとかは知る,嘆きながらひとりで寝て過ごす夜の明けるまでの間がどんなに長いものか、あなたはわかっているのですか。,拾遺集 恋四 912,なげき,あなたを想いながら、一人で過ごす夜が明けるまでの時間が、どれほど長く、そしてあなたへの愛を深めるものであるか、あなたは知っているのでしょうか。,夜明けまでの長い時間を独りで過ごすと時間の感覚が研ぎ澄まされる。自分と向き合う濃密な時間は何物にも代えがたい経験だ。
54,儀同三司母,忘れじの 行く末までは かたければ 今日を限りの 命ともがな,忘れまいということばが行末まで変わらないのは難しいので、そうおっしゃる今日を限りの命であってほしいものです。,新古今集 恋三 1149,わすれ,「決して忘れない」というあなたの言葉が、未来永劫続くことは難しいかもしれない。だからこそ、その言葉を聞けた今日という日が、私の人生で最高の一日なのです。,最高の約束を交わした今が幸せの絶頂だ！この完璧な幸福感のまま時が止まってほしいくらい今日は人生最高の日だ。
55,大納言公任,滝の音は 絶えて久しく なりぬれど 名こそ流れて なほ聞こえけれ,この滝の音は絶えてから長い時が経ったけれども、その名声は流れ伝わり今でもやはり聞こえているよ。,拾遺集 雑上 1035,たき,あの滝の音が聞こえなくなって久しいが、その素晴らしさは伝説として語り継がれ、今もなお人々の心に響き渡っている。,水が枯れてもその滝の伝説は今も語り継がれている。素晴らしい名声や評判というものは物理的な形を超えて永遠に残るんだ！
56,和泉式部,あらざらむ この世のほかの 思ひ出に 今ひとたびの 逢ふこともがな,いなくなってしまうであろうこの世のほか、来世への思い出にいま一度あなたに逢いたいものです。,後拾遺集 恋三 763,あらざ,やがてこの世を去るとしても、その思い出を胸に、来世でもあなたを想い続けたい。だから、もう一度だけでいい、あなたに会ってこの想いを伝えたいのです。,死後の世界へのお土産話にするためにどうしても君に会いたい！君との思い出こそがこの世で手に入る最高の宝物だから。
57,紫式部,めぐり逢ひて 見しやそれとも わかぬ間に 雲がくれにし 夜半の月かな,めぐり会って、見たのがあなたかどうかも見分けられなかった間に、雲に隠れてしまった夜半の月のように、すぐに隠れてしまいましたね。,新古今集 雑上 1499,め,やっと会えたのに、それが本当にあなたなのか確かめる間もなく、雲に隠れてしまった夜中の月のように、あなたはあっという間に去ってしまった。なんとミステリアスな人だろう。,久しぶりに会ったと思ったら一瞬で消えちゃった！まるで雲に隠れる月のようなミステリアスで余韻の残る素敵な再会だったな。
58,大弐三位,有馬山 ゐなの笹原 風吹けば いでそよ人を 忘れやはする,有馬山から猪名の笹原にかけて風が吹いたのでそよそよと音がする、さあ、それよ、あなたのことをどうして私が忘れるのですか。,後拾遺集 恋二 709,ありま,有馬山から猪名の笹原へと風が吹き渡り、「そよそよ」と音を立てている。さあ、その音を聞いてください。私があなたのことを忘れるわけがありません。,そよ風が吹くたびに「そうだよ！」と君を思い出す。自然のすべてが君をリマインドしてくれる世界は君で溢れている！
59,赤染衛門,やすらはで 寝なましものを 小夜ふけて かたぶくまでの 月を見しかな,ためらわずに寝てしまえばよかったのに。おかげで夜がふけて傾くまでの月を見てしまったよ。,後拾遺集 恋二 680,やす,あなたの言葉を信じて、ためらわずに寝てしまえばよかった。でも、おかげで夜が更けて西に傾いていく美しい月を、心ゆくまで眺めることができた。,君を待っていたおかげで沈んでいく月を見届けることができた。普段は見逃してしまう深夜の美しい天体ショーを独り占めできたよ。
60,小式部内侍,大江山 いく野の道の 遠ければ まだふみも見ず 天の橋立,大江山を過ぎて生野へ行く道が遠いので、まだ踏んでみたことも、文を見たこともありません、天の橋立は。,金葉集 雑上 550,おほえ(読み方: おおえ),大江山を越え、生野へと続く道はとても遠いので、まだ天の橋立の地を踏んだこともありませんし、母からの手紙もまだ見ていません。（だから、歌の代作なんてありえません）,大江山を越えて行く道は遠くて冒険的だからまだ足も踏み入れてないわ。でも自力で道を切り開く準備は万端よ！
