歌番号,もとの和歌,一般的な現代語訳,ポジティブな解釈をした 現代語訳
11,わたの原 八十島かけて 漕ぎ出でぬと 人には告げよ 海人の釣舟,大海原へ漕ぎ出したと、人に伝えてほしい。,さあ多くの島々を目指して大海原への大冒険に出発だ！私の勇ましい旅立ちをみんなに自慢してくれ。
12,天つ風 雲の通ひ路 吹き閉ぢよ 乙女の姿 しばしとどめむ,天の風よ、雲の道を閉ざして天女の姿を留めてくれ。,風よ雲を吹き飛ばさずにいてくれ。この美しい舞と光景をもっと長く楽しんでいたいから！
13,筑波嶺の 峰より落つる みなの川 恋ぞ積もりて 淵となりぬる,恋心が積もり積もって深くなった。,小さな一歩から始まった情熱は今や大河のように力強く深くなっている。このエネルギーは誰にも止められない！
14,陸奥の しのぶもぢずり 誰ゆゑに 乱れそめにし 我ならなくに,忍ぶ恋のせいで心が乱れた。,複雑で美しい模様のように君への興味が尽きない。こんなに心が揺さぶられるほど夢中になれるなんて！
15,君がため 春の野に出でて 若菜摘む わが衣手に 雪は降りつつ,あなたのために若菜を摘むうち、袖に雪が降りかかる。,大好きな君へのプレゼントを探しに春の野原へ。雪が降ってきたけど君の喜ぶ顔を想像するとへっちゃらだ。
16,立ち別れ いなばの山の 峰に生ふる まつとし聞かば 今帰り来む,待つと聞けば、すぐ帰ろう。,ちょっと行ってくるよ！君が待っててくれるなら山を越えてすぐ戻ってくる。私のフットワークは軽いからね。
17,ちはやぶる 神代も聞かず 竜田川 からくれなゐに 水くくるとは,竜田川が紅葉で染まるのは神代にも聞かない。,こんな鮮やかな赤色は見たことがない！神話の時代でさえありえなかったほど今は最高にドラマチックだ。
18,住の江の 岸に寄る波 よるさへや 夢の通ひ路 人目よくらむ,夜でさえ人目を避ける恋。,夜寝ている夢の中でさえ君に会うのが恥ずかしいくらい私は君にときめいている。このドキドキ感は止まらない！
19,難波潟 みじかき芦の ふしの間も 逢はでこの世を 過ぐしてよとや,ほんの短い間でも会えないのか。,一瞬だって無駄にしたくない。一分一秒でも多く君と一緒にいたい、それほど私の愛は熱烈なんだ！
20,わびぬれば 今はた同じ 難波なる みをつくしても 逢はむとぞ思ふ,苦しい恋でも、身を尽くして会いたい。,もう迷いはない！身を投げ出す覚悟で全力で君に会いに行くよ。目標に向かって突き進むこの決意は揺るがない。
21,今来むと 言ひしばかりに 長月の 有明の月を 待ち出でつるかな,来ると言ったので、夜明けまで待った。,君が来るというからワクワクして待っていたら美しい夜明けの月を見ることができた。徹夜したおかげのご褒美だね。
22,吹くからに 秋の草木の しをるれば むべ山風を 嵐といふらむ,草木がしおれるので山風を嵐というのだ。,風が吹くだけで草木が動く、「山」に「風」で「嵐」とはうまいこと言ったものだ！言葉遊びの発見が面白い。
23,月見れば 千々に物こそ 悲しけれ わが身一つの 秋にはあらねど,月を見ると、様々なことが悲しく思える。,月を見ていると想像力が無限に広がる。自分という枠を超えた壮大なセンチメンタリズムに浸れる時間だ。
24,このたびは 幣も取りあへず 手向山 紅葉の錦 神のまにまに,供え物の代わりに紅葉を捧げる。,捧げ物は持ってないけどこの素晴らしい紅葉の錦を神様にプレゼントしよう！自然そのものが最高の贈り物だ。
25,名にし負はば 逢坂山の さねかづら 人に知られで 来るよしもがな,人に知られず会いたい。,この蔓を手繰り寄せるように誰にも見つからない秘密の方法で君の元へ行きたい。スパイ映画のようなワクワクする恋だ。
26,小倉山 峰のもみぢ葉 心あらば 今ひとたびの みゆき待たなむ,紅葉よ、もう一度の行幸まで散らないで。,紅葉たちよ君たちも空気読んでくれ！もうすぐ大切な人が来るから最高のコンディションで迎えてあげよう。
27,みかの原 わきて流るる いづみ川 いつ見きとてか 恋しかるらむ,いつ見たかわからないのに恋しい。,湧き出る泉のように理由もなく愛しさが溢れてくる。会ったことがあろうがなかろうがこの直感的なトキメキを楽しもう！
28,山里は 冬ぞ寂しさ まさりける 人目も草も かれぬと思へば,山里は冬が一層寂しい。,冬の山里は最高だ。誰も来ないし雑草も枯れてスッキリする。この圧倒的な静寂こそ究極のソロ・リトリートだ。
29,心あてに 折らばや折らむ 初霜の 置きまどはせる 白菊の花,あてずっぽうに折るほど白い。,霜と白菊が一体化して見分けがつかない！まるで自然が仕掛けた隠れんぼだね。手探りで探すゲームみたいで楽しい朝だ。
30,有明の つれなく見えし 別れより 暁ばかり 憂きものはなし,夜明けほどつらいものはない。,君との時間が最高すぎて夜が明けるのが惜しい！こんなに帰りたくないと思えるほど素晴らしい夜を過ごせたんだ。
31,朝ぼらけ 有明の月と 見るまでに 吉野の里に 降れる白雪,夜明けに、有明の月かと思うほど吉野の里に白雪が降っていた。,吉野の里に白雪が降り、朝ぼらけに有明の月と見まがうほど明るく輝いていて、私は新しい朝の清らかさを前向きに受け取っている。
32,山川に 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり,紅葉が川をせき止める。,川を埋め尽くすほどの紅葉！風が作ったこの天然のダムは鮮やかで力強い秋のアート作品だ。
33,ひさかたの 光のどけき 春の日に しづ心なく 花の散るらむ,なぜ穏やかな春に花は散るのか。,こんなにのどかな春の日なのに桜だけはエネルギッシュに舞い散っている！その潔さと躍動感が春の生命力を感じさせる。
34,誰をかも 知る人にせむ 高砂の 松も昔の 友ならなくに,知人がいない孤独。,長生きしすぎて昔の友達はいなくなったけど目の前の松の木とはすっかり親友気分だ。自然と語り合える境地に達したぞ。
35,人はいさ 心も知らず ふるさとは 花ぞ昔の 香ににほひける,人の心は変わるが、花は昔のまま。,人の心は分からないけどこの梅の花の香りは昔のままだ！変わらない故郷の香りに包まれて懐かしい思い出が蘇る。
36,夏の夜は まだ宵ながら 明けぬるを 雲のいづこに 月宿るらむ,短い夏の夜。,夏の夜は短すぎて遊び足りない！あっという間に朝だ。月も隠れる暇がないくらいスピード感あふれる爽快な季節だね。
37,白露を 風の吹きしく 秋の野は つらぬきとめぬ 玉ぞ散りける,露が玉のように散る。,風が吹くたびに草葉の露が宝石のように飛び散っていく！秋の野原はきらめく真珠が舞い踊る宝箱のようだ。
38,忘らるる 身をば思はず 誓ひてし 人の命の 惜しくもあるかな,忘れられても、相手の命が惜しい。,私のことなんてどうでもいい、ただ君が元気で長生きしてくれればそれでいいんだ！見返りを求めない究極の愛に生きている。
39,浅茅生の 小野の篠原 忍ぶれど あまりてなどか 人の恋しき,忍んでも恋しさが溢れる。,隠そうとしても隠しきれない！私の恋心は野原の笹のように生命力に溢れていてどんどん外に向かって伸びていくんだ。
40,忍ぶれど 色に出でにけり わが恋は 物や思ふと 人の問ふまで,隠しても恋が表に出た。,黙っていても顔に出ちゃうくらい私は恋をして幸せなんだ。「何かいいことあった？」って聞かれるくらいオーラが輝いている。
41,恋すてふ わが名はまだき 立ちにけり 人知れずこそ 思ひそめしか,恋の噂が早く立った。,まだ誰にも言ってないのに私が恋してるって噂になってる！それだけ私の情熱が周囲に伝わってしまっているのか。
42,契りきな かたみに袖を しぼりつつ 末の松山 波越さじとは,決して変わらないと誓ったのに。,あの時の涙ながらの約束は山を波が越えない限り絶対だ！それくらい私たちの絆は強固で不可能なことさえ覆す力がある。
43,逢ひ見ての 後の心に くらぶれば 昔は物を 思はざりけり,恋を知ってから苦しくなった。,君に出会ってからの毎日は刺激的すぎる！出会う前の平穏な日々が退屈に思えるほど今の私は感情豊かに生きている。
44,逢ふことの 絶えてしなくは なかなかに 人をも身をも 恨みざらまし,会えない方が恨まずに済んだ。,もし会わなければこんな気持ちにはならなかった。つまり君との出会いは私の人生を根底から覆す衝撃的なビッグイベントだったんだ！
45,あはれとも いふべき人は 思ほえで 身のいたづらに なりぬべきかな,同情してくれる人もいない。,誰にも理解されなくても構わない。私はこの道を突き進み自分だけの信念を貫いて燃え尽きる。それが私の生き様だ！
46,由良の門を 渡る舟人 かぢを絶え 行くへも知らぬ 恋の道かな,行方知れぬ恋。,舵を失った船のようにどこにたどり着くかわからない恋の旅！予測不能なミステリーツアーに出ているようで最高にスリリングだ。
47,八重むぐら しげれる宿の さびしきに 人こそ見えね 秋は来にけり,誰も来ない宿にも秋は来た。,雑草が生い茂るワイルドな我が家にも平等に秋がやってきた。誰にも邪魔されず季節の到来を独り占めできる特等席だ。
48,風をいたみ 岩うつ波の おのれのみ くだけて物を 思ふころかな,自分だけが苦しむ恋。,激しい風を受けて岩に砕け散る波のように私は全身全霊で恋にぶつかっている！砕けることを恐れないロックな毎日だ。
49,みかきもり 衛士のたく火の 夜は燃え 昼は消えつつ 物をこそ思へ,夜は燃え、昼は消える恋心。,警備のかがり火のように私の情熱は夜になるとメラメラと燃え上がる！昼間はクールに振る舞っているが内なる炎は消えていない。
50,君がため 惜しからざりし 命さへ 長くもがなと 思ひけるかな,あなたのために命を長くと思う。,君に出会うまでは命なんてどうでもよかったけど今は一日でも長く生きたい！君との未来が楽しみすぎて人生が急に輝き出したよ。
51,かくとだに えやはいぶきの さしも草 さしも知らじな もゆる思ひを,これほど燃える思いを、どうして伝えられようか。,伊吹山のお灸の草のように私の心は熱く燃えている！この胸の炎は誰にも消せないとてつもないエネルギーを秘めているんだ。
52,明けぬれば 暮るるものとは 知りながら なほ恨めしき 朝ぼらけかな,夜が明けると知っていても、夜明けが恨めしい。,また夜が来るのは分かってるけど君との楽しい時間が中断される朝が憎らしい。それほど充実した夜だったということさ！
53,嘆きつつ ひとり寝る夜の 明くる間は いかに久しき ものとかは知る,一人で嘆きながら過ごす夜は、どれほど長いことか。,夜明けまでの長い時間を独りで過ごすと時間の感覚が研ぎ澄まされる。自分と向き合う濃密な時間は何物にも代えがたい経験だ。
54,忘れじの 行く末までは かたければ 今日を限りの 命ともがな,忘れられないなら、いっそ今日限りで死にたい。,最高の約束を交わした今が幸せの絶頂だ！この完璧な幸福感のまま時が止まってほしいくらい今日は人生最高の日だ。
55,滝の音は 絶えて久しく なりぬれど 名こそ流れて なほ聞こえけれ,滝は止んでも名声は残る。,水が枯れてもその滝の伝説は今も語り継がれている。素晴らしい名声や評判というものは物理的な形を超えて永遠に残るんだ！
56,あらざらむ この世のほかの 思ひ出に 今ひとたびの 逢ふこともがな,死ぬ前にもう一度会いたい。,死後の世界へのお土産話にするためにどうしても君に会いたい！君との思い出こそがこの世で手に入る最高の宝物だから。
57,めぐり逢ひて 見しやそれとも わかぬ間に 雲がくれにし 夜半の月かな,再会したと思ったら、すぐに別れてしまった。,久しぶりに会ったと思ったら一瞬で消えちゃった！まるで雲に隠れる月のようなミステリアスで余韻の残る素敵な再会だったな。
58,有馬山 ゐなの笹原 風吹けば いでそよ人を 忘れやはする,風が吹くたび、忘れられない人を思い出す。,そよ風が吹くたびに「そうだよ！」と君を思い出す。自然のすべてが君をリマインドしてくれる世界は君で溢れている！
59,やすらはで 寝なましものを 小夜ふけて かたぶくまでの 月を見しかな,待たずに寝ればよかったのに、夜更けまで待った。,君を待っていたおかげで沈んでいく月を見届けることができた。普段は見逃してしまう深夜の美しい天体ショーを独り占めできたよ。
60,大江山 いく野の道の 遠ければ まだふみも見ず 天の橋立,母からの手紙はまだ来ていない。,大江山を越えて行く道は遠くて冒険的だからまだ足も踏み入れてないわ。でも自力で道を切り開く準備は万端よ！
61,いにしへの 奈良の都の 八重桜 今日九重に にほひぬるかな,昔の都の桜が今は宮中で咲く。,古都・奈良の美しい八重桜が今ここでさらに美しく咲き誇っている！伝統を受け継ぎつつ今が一番の全盛期だと感じる華やかさだ。
62,夜をこめて 鳥のそらねは はかるとも よに逢坂の 関はゆるさじ,偽りは通じない。,鶏の鳴きマネをして騙そうとしても無駄よ。ここは鉄壁の守り！私のガードは固いしそんな小手先の技を見破る賢さを持っているの。
63,今はただ 思ひ絶えなむ とばかりを 人づてならで 言ふよしもがな,もう諦めたいと直接伝えたい。,噂や人づてじゃなくて直接会ってハッキリ言いたい！自分の気持ちにケジメをつけるため堂々と正面から向き合いたいんだ。
64,朝ぼらけ 宇治の川霧 たえだえに あらはれわたる 瀬々の網代木,霧の切れ間に網代が見える。,川霧が晴れていき風景がパノラマのように広がっていく。朝の清々しい空気の中で世界が目覚める瞬間を目撃している。
65,恨みわび ほさぬ袖だに あるものを 恋に朽ちなむ 名こそ惜しけれ,恋で身を滅ぼすのは惜しい。,涙で袖が濡れるのも悪くないが恋に溺れて評判を落とすのはもったいない。私は恋も楽しみつつ自分のプライドも大切にする。
66,もろともに あはれと思へ 山桜 花よりほかに 知る人もなし,共にあわれと思ってくれ。,山奥で桜と二人きり。他の誰も知らないこの美しさを私と桜だけで共有している。最高のパートナーシップを感じる瞬間だ。
67,春の夜の 夢ばかりなる 手枕に かひなく立たむ 名こそ惜しけれ,はかない夢のために名を失うのは惜しい。,春の夜の夢のような誘惑だけど私は自分の評判を大事にするわ。一時の感情に流されず自分を律することができる強さが私にはある。
68,心にも あらでうき世に ながらへば 恋しかるべき 夜半の月かな,生きていると恋しい月もある。,不本意ながらも生き続けていればこんなに美しい月を懐かしく思い出せる日が来る。未来にはきっと素晴らしい思い出が待っているはずだ。
69,嵐吹く 三室の山の もみぢ葉は 竜田の川の 錦なりけり,紅葉が川を錦のように染める。,嵐が紅葉を吹き飛ばして川が一面豪華な錦織のようになった！自然が豪快に作り出した極彩色のスペクタクルだ。
70,さびしさに 宿を立ち出でて ながむれば いづこも同じ 秋の夕暮,どこも同じ寂しさ。,寂しくて外に出たらどこもかしこも美しい秋の夕暮れだった。この静けさは世界共通でみんな同じ空の下にいるという一体感を感じる。
71,夕されば 門田の稲葉 おとづれて 芦のまろやに 秋風ぞ吹く,夕方になると秋風が吹く。,夕方になると稲穂が揺れる音が聞こえてきて秋風が心地よく吹き抜ける。収穫の予感と自然のBGMに包まれた豊かな田園生活だ。
72,音に聞く 高師の浜の あだ波は かけじや袖の ぬれもこそすれ,噂だけで近づかない。,あの高い波は有名だけど私は近づかないわ。自分の心を守り危険を回避する賢い選択ができる私って素敵。
73,高砂の 尾上の桜 咲きにけり 外山の霞 立たずもあらなむ,桜を霞で隠さないでほしい。,山頂の桜が満開だ！霞よどいてくれ。この素晴らしい景色をフルハイビジョンで隅々まで堪能したいんだ！
74,うかりける 人を初瀬の 山おろし 激しかれとは 祈らぬものを,冷たい仕打ちが恨めしい。,山おろしのように激しい君の態度！私が祈ったのは愛だけどこんなに強烈な反応が返ってくるなんてある意味パワフルで刺激的だね。
75,契りおきし させもが露を 命にて あはれ今年の 秋もいぬめり,約束を信じて待ったのに。,約束という名の希望をエネルギーにして生きてきた。今年も秋が過ぎていくけれど希望を持ち続けて生きる私の生命力はすごい。
76,わたの原 漕ぎ出でて見れば 久方の 雲居にまがふ 沖つ白波,白波が雲と見まがう。,海に漕ぎ出してみたら沖の白波が雲と繋がっているようだ！空と海が一体化した広大で爽快なパノラマビューの中に私はいる。
77,瀬を早み 岩にせかるる 滝川の われても末に 逢はむとぞ思ふ,障害があっても、いつか会いたい。,岩にぶつかって水が分かれても必ずまた合流する。私たちも今は離れても未来では絶対に再会できる！ハッピーエンド確定の予言だ。
78,淡路島 かよふ千鳥の 鳴く声に いく夜寝覚めぬ 須磨の関守,千鳥の声で眠れない。,千鳥の鳴き声が聞こえるたびに目が覚める。自然の音に敏感になれる都会では味わえない贅沢なキャンプ・ナイトだ。
79,秋風に たなびく雲の 絶え間より もれ出づる月の 影のさやけさ,雲間から月が冴える。,雲の切れ間から強烈な月の光が射し込んできた！闇を切り裂くようなサーチライト、このクリアで美しい光景を見逃さなくてよかった。
80,長からむ 心も知らず 黒髪の 乱れて今朝は 物をこそ思へ,将来も分からぬ恋。,長い黒髪が乱れるほど昨夜の余韻に浸っている。先のことは分からないけど今朝の私は愛の記憶で胸がいっぱいだ。
81,ほととぎす 鳴きつる方を ながむれば ただ有明の 月ぞ残れる,去った後の静けさ。,ホトトギスの声がした方を見たら美しい月が残っていた。音と光の共演、早起きした人だけが得られる清々しい朝のサプライズだ。
82,思ひわび さても命は あるものを 憂きにたへぬは 涙なりけり,生きているが、涙に耐えられない。,悩み苦しんでも私はしぶとく生きている！溢れ出る涙は私が全力で感情を味わい生命力豊かに生きている証拠だ。
83,世の中よ 道こそなけれ 思ひ入る 山の奥にも 鹿ぞ鳴くなる,どこにも逃げ場はない。,世の中に逃げ場はない、つまりどこへ行っても世界は繋がっている！山奥で鹿の声を聞きどんな場所でも生きていける覚悟が決まった。
84,長らへば またこのごろや しのばれむ 憂しと見し世ぞ 今は恋しき,つらかった世も懐かしい。,長生きすれば今の苦労も「あの頃はよかった」と笑い話になるはず。過去の苦難が良い思い出になったように未来は明るい！
85,夜もすがら もの思ふころは 明けやらで ねやのひまさへ つれなかりけり,夜通し眠れない。,一晩中考え事をして夜明けが遠く感じる。自分の部屋の隙間さえ愛おしく思えるほどとことん自分の内面と向き合う濃密な夜だ。
86,嘆けとて 月やはものを 思はする かこち顔なる わが涙かな,月のせいで涙が出る。,月が綺麗すぎて涙が出てくる！「月のせい」にしたくなるほど感受性が豊かになってロマンチックな気分に浸っているんだ。
87,村雨の 露もまだひぬ 槇の葉に 霧立ちのぼる 秋の夕暮,霧立つ夕暮れ。,通り雨のあと木々の緑が輝き霧が幻想的に立ち上る。雨上がりの森が見せるマイナスイオンたっぷりの浄化された世界だ。
88,難波江の 芦のかりねの ひとよゆゑ みを尽くしてや 恋ひわたるべき,一夜の恋に身を尽くすか。,たった一夜の思い出だけで一生恋していられる！それほど強烈で素晴らしい体験をした私はなんて幸運なんだろう。
89,玉の緒よ 絶えなば絶えね ながらへば 忍ぶることの 弱りもぞする,生きていれば耐えられない。,私の魂よ今が絶頂だ！この秘めた恋心が爆発しそうなほどの高揚感。命が燃え尽きるくらい私は今情熱的に生きている！
90,見せばやな 雄島のあまの 袖だにも 濡れにぞ濡れし 色は変はらず,涙に濡れても心は変わらない。,見て私の袖！漁師のように波をかぶっても色は変わらない。どんな逆境にも負けない私のタフで一途な心を見習ってほしいわ。
91,きりぎりす 鳴くや霜夜の さむしろに 衣かたしき ひとりかも寝む,寒い夜に一人で寝る。,コオロギの声が響くクリアな冬の夜。自分の着物を重ねて温まりながら静寂を独り占めする贅沢なソロ・キャンプ気分だ。
92,わが袖は 潮干に見えぬ 沖の石の 人こそ知らね 乾く間もなし,涙は人知れず流れる。,海の中にある石のように私の袖は常に潤っている。誰にも見えない場所で豊かな感情の海に浸り続けているんだ。
93,世の中は 常にもがもな 渚こぐ あまの小舟の 綱手かなしも,変わらぬ世を願う。,この平和な景色がずっと続いてほしい！漁師が小舟を引くのどかな風景を見ていると日常の尊さと世界の美しさを心から感じるよ。
94,み吉野の 山の秋風 さ夜ふけて ふるさと寒く 衣打つなり,秋風が衣を打つ音。,夜が更けて風の音と衣を打つリズムが聞こえてくる。古都・吉野の秋の夜長を彩る風流なライブパフォーマンスだ。
95,おほけなく うき世の民に おほふかな わが立つ杣に 墨染の袖,僧として世を憂う。,身の程知らずかもしれないが私のこの袖で世界中の人々を包み込んで守ってあげたい！溢れんばかりの慈愛と使命感に燃えている。
96,花さそふ 嵐の庭の 雪ならで ふりゆくものは わが身なりけり,散るのは花でなく自分。,花吹雪の中で私も一緒に年を重ねていく。桜と共に変化していく自分の人生、なんて優雅で美しい老い方だろう。
97,来ぬ人を 松帆の浦の 夕なぎに 焼くや藻塩の 身もこがれつつ,来ない人を待ち焦がれる。,製塩の炎のように私の心は恋で燃え上がっている！待ち人が来ない時間さえも情熱を燃やす燃料にしてしまうほど私は熱い。
98,風吹けば 沖つ白波 たつた山 夜半にや君が ひとり越ゆらむ,嵐の夜に越えているのか。,風が強い夜だけど君ならあの山を越えられるはずだ！遠くから君の冒険と無事を信じてエールを送っているよ。
99,人もをし 人も恨めし あぢきなく 世を思ふゆゑに もの思ふ身は,人を愛し、人を恨む。,人が愛おしかったり憎かったり人間って本当に面白い！複雑な世の中だからこそ悩み考える楽しさがある。感情豊かに生きるのは素晴らしい。
100,ももしきや 古き軒端の しのぶにも なほあまりある 昔なりけり,昔を忍ぶ思いが尽きない。,古い宮殿の軒端の植物を見ていると輝かしい歴史が鮮明に蘇ってくる。素晴らしい過去があったからこそ今がある、歴史の重みと美しさに乾杯！
